#{"t_start": 1785149413.770294, "env_id": "None"}
r,l,t
-300.177292,52,5.532216
-347.231507,52,5.540541
-281.530417,52,5.548733
-303.818286,52,5.556954
-292.507781,52,5.565081
-291.225321,52,5.611273
-322.333555,52,5.619691
-311.652566,52,5.62796
-258.693106,52,5.636352
-311.22295,52,5.644597
-244.744302,52,5.690844
-271.181796,52,5.699109
-287.861273,52,5.707496
-280.170795,52,5.715688
-286.357579,52,5.723922
-288.942407,52,5.770087
-422.773142,52,5.77832
-300.630328,52,5.786589
-313.188687,52,5.794858
-300.626446,52,5.803098
-307.933558,52,5.849275
-302.800428,52,5.857846
-503.52291,52,5.866105
-331.138047,52,5.874482
-302.009608,52,5.882675
-306.119668,52,5.929219
-294.846236,52,5.937701
-284.041249,52,5.946032
-312.626191,52,5.954516
-377.228938,52,5.962773
-306.731084,52,6.009122
-307.55086,52,6.017395
-307.493397,52,6.025662
-295.920831,52,6.033839
-301.373979,52,6.042024
-320.177265,52,6.088444
-296.953785,52,6.096753
-308.644712,52,6.105063
-298.788118,52,6.113353
-284.727904,52,6.121586
-317.932093,52,6.167702
-296.085293,52,6.175989
-297.201827,52,6.184226
-276.74438,52,6.192701
-292.790224,52,6.200885
-311.305893,52,6.247047
-308.413124,52,6.255517
-278.115975,52,6.26379
-304.273117,52,6.272165
-302.533893,52,6.318195
-314.528607,52,6.326582
-301.231995,52,6.334869
-298.648085,52,6.343155
-275.58576,52,6.351384
-304.155393,52,6.397808
-321.442624,52,6.406313
-318.669064,52,6.414539
-318.36244,52,6.422834
-312.366768,52,6.431237
-320.896539,52,6.477524
-282.853495,52,6.486018
-300.837207,52,6.494292
-311.553898,52,6.502536
-298.751337,52,6.510739
-266.162063,52,6.556906
-278.315484,52,6.565228
-307.333865,52,6.573694
-292.521192,52,6.582019
-320.404385,52,6.590432
-315.392428,52,6.636755
-309.385747,52,6.645083
-318.136709,52,6.653406
-311.499782,52,6.66166
-307.57296,52,6.669928
-279.701481,52,6.716045
-268.351008,52,6.724509
-318.939143,52,6.732759
-280.754707,52,6.741007
-285.569019,52,6.749219
-296.36874,52,6.795846
-285.550037,52,6.804175
-293.902678,52,6.812391
-301.19198,52,6.820574
-312.883629,52,6.828734
-291.324747,52,6.874557
-292.555397,52,6.882813
-338.378631,52,6.891197
-422.595381,52,6.899442
-255.514665,52,6.907606
-298.437761,52,6.953703
-300.179318,52,6.96198
-291.144285,52,6.97029
-295.05834,52,6.978516
-324.192711,52,6.986952
-287.313643,52,7.033324
-365.223022,52,7.041817
-265.972183,52,7.050083
-283.298906,52,7.058349
-269.690571,52,7.066517
-299.083718,52,7.112902
-280.214733,52,7.121182
-243.496373,52,7.129359
-282.669889,52,7.137685
-293.644069,52,7.145959
-264.922205,52,7.192361
-334.789906,52,7.200621
-291.291063,52,7.20907
-299.86614,52,7.217292
-293.182515,52,7.225696
-334.02194,52,7.271812
-310.102125,52,7.280095
-299.037416,52,7.288329
-248.790139,52,7.296566
-285.575693,52,7.342871
-274.656165,52,7.351186
-284.901793,52,7.35961
-284.962388,52,7.367845
-664.652506,52,7.376203
-302.325198,52,7.422348
-257.58285,52,7.430627
-248.784514,52,7.439302
-294.475607,52,7.447577
-299.019953,52,7.455957
-303.456644,52,7.502084
-284.174286,52,7.51037
-259.991591,52,7.518659
-265.158656,52,7.52692
-248.018352,52,7.535143
-254.854754,52,7.58105
-357.50329,52,7.589474
-304.430955,52,7.597662
-287.169177,52,7.606072
-279.747854,52,7.61431
-226.876104,52,7.660166
-277.751449,52,7.668491
-251.643238,52,7.676757
-262.361855,52,7.68509
-514.103754,52,7.693354
-557.639937,52,7.739724
-653.202816,52,7.74804
-268.78264,52,7.756417
-394.626308,52,7.764643
-243.418949,52,7.772951
-647.832712,52,7.819241
-440.487097,52,7.827494
-261.705317,52,7.835666
-277.399014,52,7.843806
-316.618377,52,7.852005
-404.48314,52,7.898233
-237.019636,52,7.906704
-336.958355,52,7.914926
-264.804456,52,7.92307
-300.657776,52,7.931177
-347.894983,52,7.982801
-243.360256,52,7.993254
-284.590021,52,8.007785
-242.568592,52,8.01728
-292.652604,52,8.027188
-294.413109,52,8.10646
-268.936558,52,8.11486
-276.580903,52,8.126227
-290.451966,52,8.136172
-289.745083,52,8.144427
-575.806578,52,8.191571
-274.408416,52,8.199841
-298.512562,52,8.208398
-311.651865,52,8.216654
-262.045371,52,8.225142
-283.342866,52,8.271777
-292.473417,52,8.280075
-294.163381,52,8.288517
-349.115845,52,8.296737
-280.809064,52,8.304983
-315.484429,52,8.351456
-303.346994,52,8.35978
-288.20964,52,8.368034
-297.173601,52,8.37619
-314.87807,52,8.422054
-317.71976,52,8.430403
-299.63718,52,8.438719
-254.197648,52,8.446902
-297.365822,52,8.45504
-307.467708,52,8.501437
-323.347648,52,8.509834
-273.794641,52,8.518041
-283.89902,52,8.52634
-311.602316,52,8.534574
-282.745634,52,8.580822
-276.03502,52,8.589333
-360.419433,52,8.597567
-294.94219,52,8.605985
-282.369327,52,8.614201
-295.626734,52,8.660592
-310.115812,52,8.66905
-284.543762,52,8.677307
-270.783131,52,8.685542
-264.757946,52,8.693693
-277.918892,52,8.73968
-293.413922,52,8.747956
-495.580712,52,8.756319
-272.360099,52,8.764518
-284.348298,52,8.772925
-297.171568,52,8.819631
-258.70281,52,8.827885
-288.913041,52,8.836157
-243.740419,52,8.844352
-291.936039,52,8.852682
-245.9456,52,8.898894
-228.853999,52,8.907298
-283.203178,52,8.915489
-315.778428,52,8.923757
-282.49613,52,8.931925
-307.016494,52,8.978151
-331.309878,52,8.98663
-257.025346,52,8.994906
-284.653144,52,9.003221
-528.281264,52,9.01147
-292.745856,52,9.057743
-299.019112,52,9.06607
-259.734517,52,9.074518
-300.694364,52,9.082767
-274.556054,52,9.091207
-266.783084,52,9.137767
-275.601883,52,9.14607
-306.34485,52,9.154281
-257.946228,52,9.162438
-260.940972,52,9.17059
-280.407718,52,9.217108
-491.606205,52,9.22532
-305.047096,52,9.233475
-281.668297,52,9.241601
-320.683033,52,9.249733
-594.433806,52,9.295759
-397.31076,52,9.304022
-272.710129,52,9.312238
-288.196259,52,9.320377
-282.34743,52,9.328521
-301.963158,52,9.374349
-285.783198,52,9.382588
-289.624039,52,9.3908
-253.864617,52,9.398989
-288.11994,52,9.445411
-270.401884,52,9.45375
-275.794214,52,9.461951
-291.485585,52,9.470364
-290.097235,52,9.478657
-315.032678,52,9.524456
-291.304011,52,9.532832
-322.647789,52,9.54126
-304.34825,52,9.549513
-292.646234,52,9.557808
-293.448658,52,9.60453
-309.813942,52,9.612847
-306.77931,52,9.621252
-312.117594,52,9.629592
-488.737097,52,9.63798
-307.466297,52,9.683918
-296.347508,52,9.692473
-303.594907,52,9.700729
-304.371435,52,9.709088
-314.917522,52,9.7173
-313.968379,52,9.763737
-312.193625,52,9.772212
-310.922769,52,9.780467
-276.832436,52,9.788759
-292.868596,52,9.796969
-299.52341,52,9.843057
-306.698935,52,9.851373
-284.784242,52,9.859664
-303.527655,52,9.867862
-321.918616,52,9.876135
-286.096753,52,9.922297
-306.157165,52,9.930614
-296.760073,52,9.939015
-296.974376,52,9.947369
-469.340145,52,9.955624
-287.442174,52,10.001861
-308.304949,52,10.010187
-313.096829,52,10.018602
-277.225391,52,10.026931
-274.163205,52,10.035181
-307.539882,52,10.081475
-252.307214,52,10.089974
-297.585814,52,10.098199
-268.974858,52,10.106647
-289.385811,52,10.114921
-286.15235,52,10.161539
-290.87164,52,10.169973
-265.085741,52,10.178306
-250.694413,52,10.186558
-294.398792,52,10.194776
-270.633512,52,10.241018
-273.465996,52,10.249306
-274.091105,52,10.257679
-306.944429,52,10.265899
-286.581875,52,10.274078
-283.29672,52,10.320287
-270.95415,52,10.328532
-305.053778,52,10.336719
-274.393567,52,10.344868
-359.497426,52,10.353234
-290.746218,52,10.401634
-266.400175,52,10.410184
-276.250326,52,10.41889
-397.425192,52,10.42722
-295.706592,52,10.474255
-288.357899,52,10.482606
-300.59259,52,10.491024
-270.373575,52,10.499291
-269.044095,52,10.507696
-282.772708,52,10.553916
-255.039714,52,10.562227
-301.210932,52,10.570626
-229.312027,52,10.57887
-266.678828,52,10.587108
-277.984566,52,10.633369
-242.325515,52,10.641608
-268.755533,52,10.649751
-236.540862,52,10.657931
-1035.144647,52,10.666055
-253.730097,52,10.711918
-251.190933,52,10.720345
-515.307985,52,10.728644
-251.159374,52,10.73696
-255.979461,52,10.745242
-274.470273,52,10.791439
-362.72535,52,10.799738
-232.104712,52,10.808186
-406.104337,52,10.816464
-271.715894,52,10.824751
-365.12909,52,10.870795
-273.767179,52,10.879082
-266.833546,52,10.887426
-290.321496,52,10.89567
-388.117946,52,10.903921
-278.015476,52,10.950305
-277.116184,52,10.958789
-274.584892,52,10.966995
-276.588843,52,10.975351
-277.077677,52,10.983568
-286.289629,52,11.029534
-266.711099,52,11.03794
-276.250867,52,11.046271
-273.341662,52,11.054551
-279.873354,52,11.062761
-267.82428,52,11.10886
-257.683775,52,11.11708
-275.212184,52,11.125458
-285.632744,52,11.133655
-280.804022,52,11.142012
-310.3912,52,11.191945
-634.774379,52,11.200904
-246.24989,52,11.210297
-273.290575,52,11.219156
-255.400899,52,11.227916
-276.318375,52,11.287116
-255.429258,52,11.296228
-261.62972,52,11.305319
-251.739326,52,11.314054
-333.487482,52,11.322744
-266.065615,52,11.381482
-306.454583,52,11.390139
-267.698922,52,11.398611
-298.198124,52,11.407255
-701.29785,52,11.415528
-268.85231,52,11.462816
-268.205219,52,11.471286
-287.686372,52,11.47958
-332.496734,52,11.487747
-300.115732,52,11.533796
-308.393383,52,11.542199
-293.328651,52,11.550424
-301.330052,52,11.55893
-275.3265,52,11.567532
-284.118196,52,11.613896
-278.691305,52,11.622225
-290.101855,52,11.630422
-267.464931,52,11.638597
-300.474948,52,11.646779
-304.173892,52,11.694581
-259.688597,52,11.702916
-290.113528,52,11.711117
-288.167484,52,11.71955
-270.988378,52,11.727797
-268.394167,52,11.774038
-625.618535,52,11.782391
-282.992429,52,11.790643
-260.085446,52,11.798803
-283.525676,52,11.807253
-263.489735,52,11.853769
-283.330641,52,11.862027
-280.480002,52,11.870269
-275.729085,52,11.878492
-278.746703,52,11.886823
-271.44132,52,11.933331
-264.829608,52,11.94162
-267.334407,52,11.949825
-269.70076,52,11.958036
-270.93222,52,11.966161
-296.719237,52,12.012518
-279.675567,52,12.021029
-262.753743,52,12.029252
-345.209877,52,12.037656
-267.69764,52,12.045889
-272.739989,52,12.091941
-285.851637,52,12.100237
-276.384004,52,12.108666
-267.049185,52,12.116948
-281.729571,52,12.125219
-253.275456,52,12.171475
-261.143242,52,12.179898
-261.794831,52,12.188345
-287.67879,52,12.196605
-300.61007,52,12.205082
-304.779424,52,12.251898
-279.814958,52,12.260297
-446.811422,52,12.268689
-264.245954,52,12.277028
-288.138305,52,12.285316
-320.602247,52,12.331514
-280.835773,52,12.34001
-306.116219,52,12.348237
-269.988642,52,12.356651
-281.588032,52,12.364863
-259.696202,52,12.411326
-258.827321,52,12.419738
-269.315845,52,12.428005
-437.475211,52,12.436264
-266.099948,52,12.444483
-269.124782,52,12.490626
-317.684277,52,12.498929
-287.277199,52,12.507269
-285.410686,52,12.515492
-515.587835,52,12.561749
-295.407233,52,12.570255
-293.920603,52,12.578491
-269.142729,52,12.586895
-282.288419,52,12.595149
-298.722037,52,12.641459
-310.624328,52,12.649859
-309.878316,52,12.658315
-278.510809,52,12.666585
-280.997369,52,12.674866
-282.128937,52,12.721064
-310.482015,52,12.729397
-596.972587,52,12.737804
-295.540953,52,12.746119
-305.485219,52,12.754421
-292.093552,52,12.800735
-293.595027,52,12.809242
-287.701378,52,12.817504
-300.957402,52,12.825756
-301.487576,52,12.833933
-310.868765,52,12.880024
-268.439661,52,12.888451
-283.574084,52,12.896713
-293.619176,52,12.904919
-335.000644,52,12.913134
-270.04937,52,12.959093
-279.989526,52,12.967361
-295.549762,52,12.97557
-279.859007,52,12.983754
-268.021941,52,12.99213
-281.594878,52,13.038508
-301.185948,52,13.046781
-291.010996,52,13.055102
-264.802489,52,13.063322
-261.735987,52,13.071734
-303.305165,52,13.117995
-270.004197,52,13.126343
-288.5704,52,13.134605
-285.831187,52,13.142959
-264.044896,52,13.151149
-271.170314,52,13.197619
-260.27046,52,13.206221
-297.522302,52,13.214518
-278.40915,52,13.222791
-264.335229,52,13.230984
-276.922934,52,13.277262
-460.731477,52,13.285631
-276.142259,52,13.293896
-287.025998,52,13.302126
-252.280049,52,13.31026
-267.307424,52,13.356688
-251.274621,52,13.364957
-238.584886,52,13.373348
-647.480654,52,13.38153
-291.629648,52,13.389919
-284.982768,52,13.436141
-283.695767,52,13.444333
-271.242661,52,13.452666
-271.081141,52,13.461252
-270.056448,52,13.469469
-231.573341,52,13.515668
-256.633418,52,13.524066
-530.075153,52,13.532291
-272.437119,52,13.540649
-435.166154,52,13.586978
-681.671016,52,13.595325
-279.739371,52,13.603684
-243.837741,52,13.611932
-267.610031,52,13.620157
-269.79137,52,13.66577
-267.229263,52,13.674261
-232.447189,52,13.682554
-253.944752,52,13.690875
-256.598435,52,13.699085
-345.787,52,13.745408
-267.839455,52,13.753711
-245.568828,52,13.761886
-274.684379,52,13.77022
-318.829844,52,13.778452
-310.192765,52,13.824885
-354.918859,52,13.833159
-254.245523,52,13.84152
-290.661172,52,13.849753
-314.60794,52,13.857956
-375.475728,52,13.904073
-259.324779,52,13.912407
-270.210346,52,13.920715
-264.726706,52,13.928944
-263.438476,52,13.937318
-267.323881,52,13.983607
-280.458235,52,13.992057
-268.252197,52,14.000282
-273.722636,52,14.008465
-283.560198,52,14.016649
-284.181086,52,14.062859
-250.443637,52,14.07126
-281.081975,52,14.079525
-291.019037,52,14.087805
-279.633392,52,14.09597
-373.658418,52,14.142151
-256.978708,52,14.150392
-374.87434,52,14.158749
-285.983188,52,14.166925
-246.880855,52,14.17517
-279.247991,52,14.221425
-276.720283,52,14.229683
-473.530593,52,14.237989
-284.912122,52,14.246191
-264.690398,52,14.254412
-276.001657,52,14.300274
-287.442224,52,14.308519
-267.233536,52,14.316674
-279.135312,52,14.325055
-275.624863,52,14.333263
-290.978913,52,14.379743
-276.803908,52,14.388186
-277.573095,52,14.396401
-289.524237,52,14.404657
-265.830392,52,14.41291
-272.385383,52,14.45961
-272.820701,52,14.468095
-435.412187,52,14.476412
-271.832691,52,14.484616
-366.748573,52,14.492804
-274.983112,52,14.5389
-290.955383,52,14.547161
-282.696743,52,14.555426
-278.143724,52,14.563577
-292.592122,52,14.609449
-274.600429,52,14.617737
-448.997836,52,14.626098
-297.991429,52,14.634326
-516.094395,52,14.64257
-289.145183,52,14.688876
-279.668257,52,14.697141
-292.756712,52,14.705511
-304.054371,52,14.713738
-261.14188,52,14.722122
-444.948684,52,14.768751
-286.485932,52,14.777038
-261.965043,52,14.785244
-291.417075,52,14.79346
-285.729376,52,14.801665
-265.487127,52,14.847927
-276.781468,52,14.856339
-273.067666,52,14.864522
-266.186668,52,14.872832
-291.323451,52,14.881062
-260.262685,52,14.927373
-267.097128,52,14.935777
-275.188134,52,14.944002
-279.42384,52,14.952276
-282.589539,52,14.960465
-284.537118,52,15.006501
-251.589006,52,15.014718
-277.90651,52,15.02303
-272.572657,52,15.031247
-259.990462,52,15.039601
-290.469069,52,15.08586
-404.591548,52,15.094147
-295.47529,52,15.102385
-300.842561,52,15.110547
-277.16338,52,15.118743
-284.850085,52,15.165192
-231.360577,52,15.173763
-263.412056,52,15.182049
-260.420518,52,15.190377
-264.040747,52,15.198596
-476.905557,52,15.244811
-347.14734,52,15.253173
-348.223448,52,15.261449
-279.909891,52,15.269639
-289.622553,52,15.27778
-245.935192,52,15.3246
-287.686374,52,15.332814
-277.740157,52,15.34122
-242.712815,52,15.349379
-281.411772,52,15.357585
-361.647528,52,15.406511
-281.271517,52,15.415009
-367.858393,52,15.423545
-360.802882,52,15.431792
-386.367773,52,15.440033
-262.047391,52,15.487038
-263.860149,52,15.495306
-283.700589,52,15.50371
-283.296234,52,15.511958
-301.710805,52,15.520224
-263.526961,52,15.566566
-302.978757,52,15.57502
-278.798856,52,15.58326
-262.282573,52,15.591539
-278.866385,52,15.637314
