#{"t_start": 1785149368.139254, "env_id": "None"}
r,l,t
-557.937735,52,8.405303
-824.854099,52,8.417584
-707.324703,52,8.429602
-311.904292,52,8.441582
-211.126926,52,8.454827
-461.386709,52,8.467084
-1520.431561,52,8.479127
-296.179097,52,8.491088
-446.477542,52,8.504082
-383.698945,52,8.516426
-352.176763,52,8.528546
-332.317492,52,8.540431
-542.896625,52,8.553297
-423.768351,52,8.565211
-177.535822,52,8.577071
-240.715387,52,8.588941
-386.987459,52,8.60163
-381.101475,52,8.613618
-307.765801,52,8.625681
-221.625954,52,8.63757
-201.553709,52,8.650518
-252.176518,52,8.662492
-311.899679,52,8.674491
-198.365676,52,8.686469
-246.745611,52,8.698649
-221.61845,52,8.710796
-324.648409,52,8.723013
-266.269652,52,8.734763
-431.939868,52,8.747512
-203.787715,52,8.759598
-431.261988,52,8.771369
-751.593988,52,8.783231
-332.392079,52,8.795328
-259.106134,52,8.807508
-527.032744,52,8.819718
-327.227612,52,8.831592
-209.571498,52,8.844543
-674.385086,52,8.856918
-377.55321,52,8.868904
-190.771118,52,8.880872
-375.474104,52,8.893063
-213.957614,52,8.905387
-214.488805,52,8.91739
-660.372577,52,8.929591
-332.970114,52,8.942182
-344.82183,52,8.95442
-364.760292,52,8.966322
-273.733182,52,8.978061
-248.12489,52,8.990409
-302.895019,52,9.002682
-378.351445,52,9.014707
-409.859721,52,9.026965
-903.390645,52,9.039824
-215.012443,52,9.052144
-209.977172,52,9.064323
-248.505198,52,9.076386
-213.901847,52,9.089423
-170.293648,52,9.101648
-438.207822,52,9.113554
-399.649887,52,9.12533
-372.671165,52,9.138274
-179.153551,52,9.150404
-1734.561997,52,9.162381
-252.607551,52,9.174299
-417.251953,52,9.186822
-260.745003,52,9.198725
-353.598474,52,9.210932
-367.052556,52,9.222918
-473.339989,52,9.235965
-357.956651,52,9.248117
-713.667038,52,9.260048
-260.452375,52,9.27199
-219.818912,52,9.284245
-470.930987,52,9.296414
-218.051154,52,9.308621
-316.679045,52,9.32056
-227.487703,52,9.333236
-754.001741,52,9.345576
-406.801058,52,9.357554
-541.66046,52,9.369366
-473.516547,52,9.381378
-289.718622,52,9.393686
-640.237281,52,9.40597
-496.979615,52,9.41781
-286.698905,52,9.430647
