rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/loss,time/episodes,train/n_updates,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,time/fps
-934.44863056,9152,0.001,8.04163932800293,176,2262,0.5652799999999998,52.0,1,4761
-973.2680531400001,9360,0.001,10.67778205871582,180,2314,0.5553999999999999,52.0,1,4758
-1021.18625183,9568,0.001,11.269624710083008,184,2366,0.5455200000000001,52.0,2,4756
-1056.1476656799998,9776,0.001,15.049945831298828,188,2418,0.5356400000000002,52.0,2,4755
-1076.4951563700001,9984,0.001,10.914353370666504,192,2470,0.5257599999999999,52.0,2,4754
-1093.0133583,10192,0.001,14.775674819946289,196,2522,0.51588,52.0,2,4751
-1100.73191168,10400,0.001,5.386768341064453,200,2574,0.5060000000000002,52.0,2,4748
-1090.65013627,10608,0.001,23.577281951904297,204,2626,0.49612000000000034,52.0,2,4745
-1072.98457152,10816,0.001,11.712080955505371,208,2678,0.4862399999999999,52.0,2,4740
-1079.7789522600003,11024,0.001,11.41697883605957,212,2730,0.47636,52.0,2,4735
-1054.1986586100002,11232,0.001,10.949373245239258,216,2782,0.46648000000000023,52.0,2,4734
-1037.5292584500003,11440,0.001,14.021547317504883,220,2834,0.4565999999999998,52.0,2,4730
-1022.8330667999998,11648,0.001,11.516075134277344,224,2886,0.4467199999999999,52.0,2,4727
-994.71351738,11856,0.001,10.382824897766113,228,2938,0.43684,52.0,2,4711
-985.9991635700001,12064,0.001,11.761520385742188,232,2990,0.42696000000000023,52.0,2,4701
-958.83234352,12272,0.001,16.323450088500977,236,3042,0.41708000000000034,52.0,2,4689
-925.37629644,12480,0.001,13.798135757446289,240,3094,0.4072,52.0,2,4679
-906.56008178,12688,0.001,11.20926570892334,244,3146,0.3973200000000001,52.0,2,4666
-886.5427384400001,12896,0.001,9.670928001403809,248,3198,0.38744000000000023,52.0,2,4654
-866.5596139300001,13104,0.001,24.837541580200195,252,3250,0.3775599999999998,52.0,2,4649
-833.92760754,13312,0.001,17.32003402709961,256,3302,0.3676799999999999,52.0,2,4646
-784.8807359100001,13520,0.001,14.761367797851562,260,3354,0.35780000000000023,52.0,2,4627
-730.43009658,13728,0.001,14.162580490112305,264,3406,0.3479199999999998,52.0,2,4613
-647.7000475799999,13936,0.001,8.977638244628906,268,3458,0.3380399999999999,52.0,3,4600
-646.38135954,14144,0.001,6.208796977996826,272,3510,0.32816,52.0,3,4585
-626.8303679800001,14352,0.001,11.30085277557373,276,3562,0.31828000000000023,52.0,3,4579
-567.46044311,14560,0.001,16.056589126586914,280,3614,0.30840000000000034,52.0,3,4572
-514.4534426499999,14768,0.001,12.037327766418457,284,3666,0.2985199999999999,52.0,3,4568
-474.6511322,14976,0.001,15.274099349975586,288,3718,0.28864,52.0,3,4568
-430.84333489999995,15184,0.001,11.775487899780273,292,3770,0.27876000000000023,52.0,3,4567
-417.32944827999995,15392,0.001,9.471563339233398,296,3822,0.2688799999999998,52.0,3,4565
-376.66749308,15600,0.001,17.695798873901367,300,3874,0.2589999999999999,52.0,3,4564
-373.33211482999997,15808,0.001,6.2899980545043945,304,3926,0.24912,52.0,3,4563
-365.22808883000005,16016,0.001,14.663938522338867,308,3978,0.23924000000000023,52.0,3,4562
-348.21890046,16224,0.001,10.136113166809082,312,4030,0.22936000000000034,52.0,3,4561
