#{"t_start": 1785149444.875367, "env_id": "None"}
r,l,t
-9576.838692,52,15.811047
-9326.010147,52,15.827408
-9047.318783,52,15.844247
-4839.945946,52,15.86022
-9368.704309,52,15.877861
-3616.36553,52,15.894441
-4318.57457,52,15.910755
-8368.139911,52,15.927641
-7583.049197,52,15.943707
-9509.891861,52,15.960761
-8747.100923,52,15.976827
-4862.771102,52,15.993003
-8166.299393,52,16.009759
-5543.238019,52,16.02609
-5077.018523,52,16.043996
-7198.427145,52,16.060709
-3054.600628,52,16.077114
-7447.614462,52,16.094272
-797.150726,52,16.110622
-764.82858,52,16.127765
-3137.537352,52,16.143998
-6270.815343,52,16.160201
-261.662052,52,16.177292
-291.021233,52,16.194365
-3496.450637,52,16.212186
-1964.623637,52,16.228574
-2606.458296,52,16.244783
-2322.62383,52,16.261996
-6262.656305,52,16.278085
-6340.651538,52,16.295126
-5631.326429,52,16.311261
-3114.547111,52,16.327329
-1025.91469,52,16.344395
-916.630647,52,16.361374
-2245.75256,52,16.379143
-2495.232896,52,16.395647
-5924.047326,52,16.411982
-4036.104112,52,16.429004
-558.403965,52,16.44533
-6523.864168,52,16.462295
-260.305445,52,16.47856
-2928.516156,52,16.4951
-937.300032,52,16.512356
-1164.78385,52,16.529574
-5189.850207,52,16.546948
-2336.892538,52,16.563452
-337.35484,52,16.57997
-1507.157649,52,16.597091
-2970.383453,52,16.613539
-3694.820875,52,16.630504
-1219.588769,52,16.646785
-7738.441305,52,16.662972
-1959.706784,52,16.681005
-2960.308392,52,16.697434
-2138.742441,52,16.714491
-4003.774668,52,16.730721
-3204.199859,52,16.746828
-4810.269555,52,16.763939
-9788.757007,52,16.780252
-3352.689448,52,16.797275
-2590.340691,52,16.8135
-9259.388879,52,16.829579
-3460.489306,52,16.847648
-7792.548386,52,16.864092
-5146.194407,52,16.881253
-6315.804388,52,16.897556
-4950.523456,52,16.913801
-2993.779572,52,16.930838
